[73002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[74002 ms] Avg: 22.16 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[75002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[76002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[77002 ms] Avg: 22.17 C | Raw: 22.45 C | MV: 2956 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[78002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[79002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[80002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[81002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
[82002 ms] Avg: 22.17 C | Raw: 22.15 C | MV: 2953 | Thr: 28.00 C | Mode: NORMAL | LED: OFF | DriftRef: *0.00 C | LastMin: 22.16 C | Ctrl: 1/1440 | Env: CTRL | ADC_ERR: 0 | Q_OVR: 0
